,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
0,0,2인가족을 위한 간지나는 차,3시간 전,유대인이 네덜란드에서 부를 지배한 방법 f.홍익희 전 세종대 교수[신과함께 #179] ,요리사 두명이 캠핑을 가면 만드는 요리 (feat.미친고기양념 레시피) ,미국,https://www.youtube.com/watch?v=sOXm4LN-_OY,1박2일 두루가볼 전국 일주! 설마.. 오늘 간다고요?! [1박 2일 시즌4/Two Days and One Night 4] 20200329
1,1,"내년말까지 서울 최대 17% 하락 가능성 (김경민 서울대 교수, 하버드 박사)",5시간 전,3-Hour Study With Me [Quiet Study Music 🎵/ Campfire 🔥 / Ocean 🌊] 50/10 Pomodoro ,"ASMR 대충 귀파주다가 실수로 고막 제거한 간호사 롤플레이 | ear cleaning, nurse's mistake roleplay ",유학,https://www.youtube.com/watch?v=M9C5smMzgdc,"""한국은 모든 준비가 끝났다"" 미국의 역대급 재난에 한국만 바라보는 상황"
2,2,복근이 생겼습니다! 100일간의 다이어트 운동 후기 with 애플워치 6,6시간 전,4-HOUR STUDY WITH ME🗼 / calm lofi music / 🏕️Cracking Fire / Tokyo at LATE NIGHT / with timer+bell ,이다희 유독 진한 메이크업 잘 어울리는 이유? ,간호사,https://www.youtube.com/watch?v=epfVjtDvvpY,[항문질환] 치질수술이 두려운 당신에게... 항문질환 예방과 관리를 위한 tip
3,3,회사에서 재미를 추구하면 안 되는 걸까 | 네이버웹툰 개발자 채용설명회,스트리밍 시간: 6시간 전,3 AM Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,"미국 고등학교 여자애들은 남자볼때 어디볼까? 외모,키,크기 중요함? | 한글자막 ",외국놈,https://www.youtube.com/watch?v=AsilR8QXUwg,"한눈에 보는 게임의 변천사, GTA 시리즈 [집마] (Evolution of Grand Theft Auto)"
4,4,수능이 붕괴한다? 벼랑 끝에 선 교육시장,6시간 전,🌙 Midnight Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,한국인보다 영어를 못하는 미국인? 영국영어 발음 :: British English vs American English. Two men in Korea talk about it. ,반응,https://www.youtube.com/watch?v=8-LxzbO3z5k,"ASMR 1인칭 여신강림 메이크업 상황극 (편안한 시각적 팅글, 화장품 탭핑) | True Beauty Goddess Advent Makeup(Eng sub) | 한국어"
5,5,Z 플립3의 놀라운 외부 화면 활용도 [4K],7시간 전,❄️ Winter Snow Coding in Chicago | 🎧 Lofi Hip-Hop Motivation ,2021년 신나는예술여행“교과서클래식으로 떠나는 세계일주”_디아트원(신석초등학교) ,★★,https://www.youtube.com/watch?v=3DAHNtlqBKU,0907  전고점 앞두고 급등한 중.일 - 가야할때 못간 한국 : 위험신호? / 일주일째 환율 1155부근 지지중 / 오늘밤 고용지표 재평가할 듯
6,6,해외직구 전자제품 중고로 못 파는 거 알고 계셨나요? 11년만에 불법이 합법으로 되었습니다.,8시간 전,역사는 2등을 기억하지 않아. l 귀족 자제들의 경합 전날 밤🌙 l 중세시대 공부 ASMR l 집중하기 좋은 저택 앰비언스 ,"무시당하던 ""한국""이 ""미국, 중국, 일본"" 쌈싸먹었던 전설의 사건 ",2스타,https://www.youtube.com/watch?v=tmkrtqeqieg,빡공시대 중3역사2[4-3](2)미국의 남북전쟁과 러시아의 근대화(2021교육과정)-음질개선판
7,7,요리사 두명이 캠핑을 가면 만드는 요리 (feat.미친고기양념 레시피),8시간 전,"""자네가 주임원사인가?""  ★★ 2스타 사단장의 반응 ",Z 플립3의 놀라운 외부 화면 활용도 [4K] ,★★2스타,https://www.youtube.com/watch?v=bOO9aRB16BM,"[여행GO!수:대천] Part1. 또 다른 바다. 게장 무한리필, 조개구이 무한리필, 스카이바이크, 바다멍"
8,8,"7 HOUR STUDY WITH ME | Background noise, Rain Sound, 10-min Break, No music, Study with Merve",8시간 전,★장군들끼리만 있으면 하는 말 (의외의 모습) ,"2021년무술일주운세, 무술일주2021년운세, 60갑자일주론, 정유역학강의, 명리기초, 사주심리학, : 근면성실 봉사성, 책임감과 총명함  :  정유역학강의. ",한국,https://www.youtube.com/watch?v=g3tTqJjaSLs,asmr but you can't find me
9,9,"물리 엔진과 게임 스토리텔링, 임어당의 한자 타자기, 거함·거포 시대의 종말",8시간 전,장삐쭈 '신병 시리즈'를 처음 본 ★★ 2스타 사단장 반응 ,한 장에 천 만원짜리 패션평가??? 근데 고등학생이라고??? 🙉 ,그랜드한,https://www.youtube.com/watch?v=yA2BewMXAVU,"물리 엔진과 게임 스토리텔링, 임어당의 한자 타자기, 거함·거포 시대의 종말"
10,10,[과학자가 쓴 과학책#13] 고재현 _빛으로 보는 세상 | 빛의 핵심,8시간 전,★★2스타 사단장도 긴장하는 순간들 (대통령 부대 방문ㄷㄷ) ,미국 엄마들의 포대기 아기 캐리어 해외 반응 | American Moms Try Korean Podaegi Baby Carrier ,일주,https://www.youtube.com/watch?v=M2z6LFqf2Fg,"[증시 셔터맨] 영국 사례로 미리보는 위드 코로나의 증시 영향 f. 유안타증권 박현상 차장, 한국투자증권 정호윤 연구원"
11,11,오타니 vs 다르빗슈 맞대결 드디어 성사 가능성은 #SPORTSTIME,8시간 전,푸른거탑 '사단장'을 본 ★★2스타 사단장 반응 ,[어서와리플레이] 땡볕에도 지치지 않는 장꾸 5인방의 술래잡기! l  ,만화,https://www.youtube.com/watch?v=M7vpqA3jhso,200년전 스코틀랜드로 시간을 거슬러 간 영국 엘리트 간호사 1부 [ 넷플릭스 드라마 추천 ]
12,12,The $140BN Plan to Change a Nation with Infrastructure,8시간 전,병사들은 소름 돋는 군대짤을 본 ★★ 2스타 사단장의 반응 ,어깨 비대칭 교정 시리즈 1 : 올라간 어깨 1분 30초 만에 교정 하기 (불균형 원리와 방법) [바디퍼스트 실전체형해부학 29] ,말싸움장인,https://www.youtube.com/watch?v=xnI1QBVKJEI,삼겹살에 치즈김치볶음밥 처음 먹어본 영국 고등학생들의 반응!?
13,13,호반꿀로 대동단결,9시간 전,군필자가 보면 소름돋는 영상을 본 ★★2스타 사단장 반응 ,"소향 리액션 반응 ""너무 아까워"" 순위, 반전 보컬코치 Vocal Coach! Ranking of the ""Unfortunately"" reaction to So Hyang ",ENTP(엔팁),https://www.youtube.com/watch?v=jvvRuPXCQoI,일주분석(2) - 인성의 특성이 강한 갑자일주
14,14,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기/ 19시 스포츠타임 뉴스 LIVE",스트리밍 시간: 9시간 전,중대장이 실망한 이유를 본 ★★2스타 사단장 반응 (군대 계급별 특징 장교 편) ,명문대 합격을 위한 에세이 브레인스토밍 tip! 효율적으로 에세이 쓰는법 ,리,https://www.youtube.com/watch?v=e6iuohGGYcI,요리사 두명이 캠핑을 가면 만드는 요리 (feat.미친고기양념 레시피)
15,15,나이 24살 l 3룸 매매해서 자취해요 l 몇평이에요? 모르겠는데요;; l 인천 부평 편 l,10시간 전,ISS through my Telescope (Compilation) ,[한국어ASMR] 탭핑ASMR ,사단장,https://www.youtube.com/watch?v=zdSZ79MuKC0,"을해 일주론 ""을해 일주 운세"" 乙亥을해 일주는  / 착하고 부드러운 사람, 지식으로 먹고살아간다"
16,16,무난한 출발은 했지만… 벤투호에 드리워진 '불안한 그림자' #SPORTSTIME,10시간 전,Galaxys and Nebulas through my Telescope (Deep Sky Objects) ,무난한 출발은 했지만… 벤투호에 드리워진 '불안한 그림자'  ,영상,https://www.youtube.com/watch?v=YyTx96HVE6M,[태연 메이크업] 최초공개!! 태연의 WEEKEND 뮤비 메이크업 대공개 ㅣ상상 그 이상의 메이크업 하우투ㅣ실 사용 아이템과 사용법 공개ㅣ최다 요청 위켄드 메이크업
17,17,70년 노포 곰탕집 : 소 X알 + 곶휴.. 싹둑.. 정력에 그렇게 좋다고..,10시간 전,Saturn through my Telescope ,'띵 시리즈' 베테랑 편집자에게 듣는 에세이 출판 기획의 모든 것 【말줄임표 S2E7】 ,스트리밍,https://www.youtube.com/watch?v=oEXEqn4wcOE,부산 브이로그🍓 한국 유치원 준비물 | 부침개 만들고 #피자스쿨 먹방 | 해운대 갓성비 맛집 | 아울렛 쇼핑 하울
18,18,손절해야 하는 인간관계,10시간 전,4억 5천만원 망원경으로 하늘을 봤더니... ,[ ,다운로드,https://www.youtube.com/watch?v=t6mQtUmrrIQ,역대 하계 패럴림픽(장애인 올림픽) 메달 순위 (1896-2020)
