영상 제목,키워드,채널 이름
"탈레반의 공포정치, 도대체 어떤 수준이기에?","탈레반,공포정치,도대체,어떤,수준",뉴스1TV
[이슈폴폴] 여론조사로 풀어 보는 정치…8월 셋째주 민심은? / 연합뉴스TV (YonhapnewsTV),"이슈폴폴,여론조사,정치,8월,셋째주,민심,연합뉴스",뉴스1TV
"황교익 ""이낙연 정치생명 끊겠다""…폭탄발언에 후폭풍 (2021.08.19/뉴스투데이/MBC)","황교익,이낙연,정치생명,폭탄발언,후폭풍,뉴스투데이",연합뉴스TV
[뉴스외전 정치 '맞수다'] 이재명의 '먹방' 출연 논란 VS 윤석열의 잠행? 잠수? (2021.08.20/뉴스외전/MBC),"뉴스외전,정치,맞수다,이재명,먹방,출연,논란,윤석열,잠행,잠수 ",연합뉴스TV
"김동연 고향에서 대선 출마 공식화 ""정치 벤처 시작"" / YTN","김동연,고향,대선,출마,공식화,정치,벤처,시작",MBCNEWS
"‘보은인사’ 논란 황교익 ”정치 권력이 일개 시민에게 막말“  [황보선의 출발 새아침, 황출새] / YTN라디오","보은인사,논란,황교익,정치,권력,일개,시민,막말,황보선,출발,새아침,황출새,라디오",MBCNEWS
"정치가 돼버린 백신, 둘로 갈라진 미국 (KBS_226회_2021.08.14.방송)","정치,백신,미국,방송",MBCNEWS
[뉴스외전 정치 '맞수다'] 점입가경 '윤석열 정리' 사태…'황교익 논란' 프레임 전쟁 (2021.08.18/뉴스외전/MBC),"뉴스외전,정치,맞수다,점입가경,윤석열,정리,사태,황교익,논란,프레임,전쟁 ",MBCNEWS
[정치톡톡] 고개 숙인 이준석 / 블랙리스트 / 이재명 아들도 낙방 [MBN 종합뉴스],정치톡톡 고개 이준석 블랙리스트 이재명 아들 낙방 종합뉴스,YTN news
"[TV CHOSUN LIVE] 8월 20일 (금) 시사쇼 이것이 정치다 - 이재명, 이천 화재 때 '먹방' 논란",시사쇼 정치 이재명 이천 화재 먹방 논란,YTN news
"황교익 ""이낙연 정치생명 끊겠다""…폭탄발언에 후폭풍 (2021.08.19/뉴스투데이/MBC)",황교익 이낙연 정치생명  폭탄발언 후폭풍 뉴스투데이,YTN 라디오
"민주, 국힘 ‘언론중재법 반대’ 농성에 “생떼정치와 타협 없다” 일축",민주 국힘 언론중재법 반대 농성 생떼정치 타협 일축,YTN 라디오
원내대표만 알아도 정치 뉴스 해석 가능 l 3분정치수업,원내대표 정치 뉴스 해석 가능 정치수업,세계는지금
[2021학년도 고3 4월 모의고사 해설강의] 정치와 법- 최적쌤 : 해설강의 풀버전,모의고사 해설강의 정치 법 최적쌤 해설강의 풀버전,세계는지금
